engine,part,src,dst,count,sum,prob
DDi50E190-60,尿素供液软管总成,1127_1,1241_1,1,8,0.125
DDi50E190-60,尿素供液软管总成,1127_1,4344_4,1,8,0.125
DDi50E190-60,尿素供液软管总成,1127_1,51_1,1,8,0.125
DDi50E190-60,尿素供液软管总成,1127_1,51_5,1,8,0.125
DDi50E190-60,尿素供液软管总成,1127_1,523000_4,2,8,0.25
DDi50E190-60,尿素供液软管总成,1127_1,523010_1,1,8,0.125
DDi50E190-60,尿素供液软管总成,1127_1,523036_8,1,8,0.125
DDi50E190-60,尿素供液软管总成,1241_1,1127_1,1,7,0.142857143
DDi50E190-60,尿素供液软管总成,1241_1,520243_0,1,7,0.142857143
DDi50E190-60,尿素供液软管总成,1241_1,523005_4,1,7,0.142857143
DDi50E190-60,尿素供液软管总成,1241_1,791_1,1,7,0.142857143
DDi50E190-60,尿素供液软管总成,1241_1,791_5,3,7,0.428571429
DDi50E190-60,尿素供液软管总成,132_3,132_6,5,6,0.833333333
DDi50E190-60,尿素供液软管总成,132_3,51_6,1,6,0.166666667
DDi50E190-60,尿素供液软管总成,132_6,51_6,1,6,0.166666667
DDi50E190-60,尿素供液软管总成,132_6,520241_12,1,6,0.166666667
DDi50E190-60,尿素供液软管总成,132_6,520243_21,1,6,0.166666667
DDi50E190-60,尿素供液软管总成,132_6,520277_4,1,6,0.166666667
DDi50E190-60,尿素供液软管总成,132_6,523000_4,1,6,0.166666667
DDi50E190-60,尿素供液软管总成,132_6,789_8,1,6,0.166666667
DDi50E190-60,尿素供液软管总成,1415_5,1418_5,1,1,1
DDi50E190-60,尿素供液软管总成,1417_5,1415_5,1,1,1
DDi50E190-60,尿素供液软管总成,1418_5,520243_0,1,1,1
DDi50E190-60,尿素供液软管总成,1442_11,520241_13,1,1,1
DDi50E190-60,尿素供液软管总成,1537_12,523014_8,1,1,1
DDi50E190-60,尿素供液软管总成,1542_4,1442_11,1,2,0.5
DDi50E190-60,尿素供液软管总成,1542_4,789_8,1,2,0.5
DDi50E190-60,尿素供液软管总成,1543_4,1542_4,2,2,1
